Location_Name,Population,People_Tested,People_Tested_Rate,All_Test_Results,All_Test_Results_Rate,Positives,Positive_Rate,Confirmed_Cases,Confirmed_Case_Rate,Probable_Cases,Probable_Case_Rate,Hospitalizations,Hospitalization_Rate,Deaths,Death_Rate
53033022803,8280.870999,4800,57964.92,9203,111135.65,636,7680.35,604,7293.92,32,386.43,15,181.14,7,84.53
53033022901,2950.833,1825,61846.94,4010,135893.83,314,10641.06,301,10200.51,13,440.55,7,237.22,3,101.67
53033022902,6756.52,4217,62413.79,9188,135987.16,636,9413.13,596,8821.11,40,592.02,14,207.21,7,103.6
53033023000,6704.141001,3684,54951.11,8260,123207.43,711,10605.39,662,9874.49,49,730.89,13,193.91,4,59.66
53033023100,4081.022001,2700,66159.9,6090,149227.33,447,10953.14,419,10267.04,28,686.1,16,392.06,2,49.01
53033023201,7301.726999,4271,58493.01,8331,114096.3,716,9805.9,692,9477.21,24,328.69,29,397.17,4,54.78
53033023202,5070.967001,2966,58489.83,6633,130803.45,650,12818.07,631,12443.39,19,374.68,43,847.96,12,236.64
53033023300,6661.375001,4569,68589.44,10089,151455.22,930,13961.08,904,13570.77,26,390.31,35,525.42,6,90.07
53033023401,4258.102,17006,399379.82,30631,719358.06,1175,27594.45,1157,27171.73,18,422.72,26,610.6,13,305.3
53033023403,4207.425001,2827,67190.74,6577,156318.89,401,9530.77,386,9174.26,15,356.51,7,166.37,2,47.54
53033023404,3524.806,2434,69053.45,5941,168548.28,415,11773.7,380,10780.74,35,992.96,4,113.48,1,28.37
53033023500,4227.6,3035,71790.14,6912,163497.02,429,10147.6,417,9863.75,12,283.85,7,165.58,2,47.31
53033023601,4255.689001,3596,84498.66,8434,198181.77,609,14310.26,594,13957.79,15,352.47,18,422.96,2,47
53033023603,6602.872999,3935,59595.27,8071,122234.67,675,10222.82,643,9738.19,32,484.64,13,196.88,0,0
53033023604,6634.393,4028,60713.92,8939,134737.27,785,11832.28,758,11425.31,27,406.97,22,331.61,2,30.15
53033023700,5017.052001,3234,64460.17,7273,144965.61,477,9507.58,441,8790.02,36,717.55,15,298.98,5,99.66
53033023801,3493.848,2580,73844.08,5555,158993.75,375,10733.15,348,9960.36,27,772.79,13,372.08,3,85.87
53033023803,6662.047,4486,67336.66,10059,150989.63,590,8856.14,539,8090.61,51,765.53,18,270.19,5,75.05
53033023804,6969.719,7191,103174.89,15200,218086.27,765,10976.05,695,9971.71,70,1004.34,12,172.17,1,14.35
53033023900,7323.935001,5306,72447.39,13644,186293.3,836,11414.63,793,10827.51,43,587.12,17,232.12,2,27.31
53033024000,8004.751001,6009,75067.92,13290,166026.4,928,11593.12,860,10743.62,68,849.5,25,312.31,4,49.97
53033024100,4505.000001,3582,79511.65,9370,207991.12,508,11276.36,473,10499.45,35,776.91,8,177.58,3,66.59
53033024200,3283.188,2327,70876.23,6094,185612.28,298,9076.54,283,8619.67,15,456.87,2,60.92,0,0
53033024300,8447.138003,6635,78547.31,17943,212415.14,862,10204.64,787,9316.77,75,887.87,22,260.44,5,59.19
53033024400,3325.615001,2292,68919.58,7865,236497.61,314,9441.86,291,8750.26,23,691.6,6,180.42,1,30.07
